fr,en,arf(m),arab(m),arfr(f),arab(f),arfr(pl),arab(pl)
fruit,fruit,ghalla,لون,-,-,alwen,أَلْوان
pomme,apple,toffe7,أَبْيَض,bitha,بيضا,byoth,بْيُض
banane,banana,banen,أَكْحَل,ka7la,كَحْلا,k7ol,كْحُل
abricot,apricot,mishmesh,أَحْمَر,7amra,حَمْرا,7mor,حْمُر
mûre,berry,Tmar/degla,أَخْضَر,khathra,خَضْرا,khthor,خْضُر
datte,date,asfar,أَصْفَر,safra,صَفْرا,sfor,صْفُر
figue,fig,karmous,أَزْرَق,zarqa,زَرْقا,zroq,زْرُق
raisin,grape,3nib,بُن ي,bonniya,بُن يَّة,bonniyin,بُن ي ين
citron,lemon,qares,-,gris,-,gris,-
poire,pear,anzas,روز,rose,روز,rose,روز
grenade,pomegranate,rommen,موف,mauve,موف,mauve,موف
fraise,strawaberry,fraise,فاتَح,fet7a,فاتْحَة,fet7in,فاتْحِّين